submission_num,submission_date,state,total_cases,confirmed_cases,probable_cases,new_case,probable_new_cases,consent_cases,consent_deaths,total_deaths,confirmed_deaths,probable_deaths,new_deaths,probable_new_deaths
25792,3/26/2021,TX,2765446,NULL,NULL,5580,996,Not agree,Not agree,48505,NULL,NULL,52,0
35502,9/4/2021,OK,565886,438081,127805,2518,948,Agree,Agree,8140,6930,1210,25,6
30623,6/15/2021,MA,709012,662910,46102,79,24,Agree,Agree,17949,17586,363,2,0
27661,4/27/2021,AK,64916,NULL,NULL,130,0,NULL,NULL,341,NULL,NULL,0,0
25169,3/16/2021,MP,156,156,0,2,0,Agree,Agree,2,2,0,0,0
17355,11/6/2020,HI,15584,NULL,NULL,113,0,Not agree,Not agree,218,NULL,NULL,0,0
12825,8/22/2020,PR,14759,14584,175,452,5,Agree,Agree,376,244,132,0,0
3345,3/17/2020,PR,0,0,0,0,0,Agree,Agree,0,0,0,0,0
16600,10/24/2020,NYC,262546,252928,9618,938,180,Agree,Agree,23665,19011,4654,3,0
37441,10/7/2021,AK,115543,NULL,NULL,835,0,NULL,NULL,569,NULL,NULL,5,0
39615,11/12/2021,HI,82836,NULL,NULL,126,27,Not agree,Not agree,966,NULL,NULL,5,0
17231,11/4/2020,FL,814100,NULL,NULL,6110,1420,Not agree,Not agree,18290,NULL,NULL,57,3
5129,4/16/2020,MP,13,13,0,0,0,Agree,Agree,2,2,0,0,0
15689,10/9/2020,MP,75,75,0,0,0,Agree,Agree,2,2,0,0,0
37083,10/1/2021,AR,496934,NULL,NULL,857,295,Not agree,Not agree,7718,NULL,NULL,27,11
16583,10/24/2020,MA,149488,146023,3465,1203,75,Agree,Agree,9893,9670,223,25,0
32881,7/23/2021,AK,70751,NULL,NULL,212,0,NULL,NULL,377,NULL,NULL,2,0
10755,7/19/2020,HI,1368,NULL,NULL,12,0,Not agree,Not agree,24,NULL,NULL,0,0
23205,2/11/2021,PR,98555,91066,7489,392,84,Agree,Agree,1894,1608,286,1,0
35591,9/6/2021,FL,3360334,NULL,NULL,10185,2023,Not agree,Not agree,52422,NULL,NULL,371,36
